"ID","LOSSAPPROVALID","LOSSAPPROVALCOMCODE","VEHSERINAME","IS4S","REPAIRTYPE","COMPNAME","REGISTNO","SUMVERILOSS","DC","VERIFYFINALDATE"
"1733166","C2019320105140003030","32010514","一汽奥迪A6","1","1","前保险杠(全喷)","RDDG320190000014527295","1200.00","","2019/7/16 16:03:05"
"1733167","C2019330154840007590","33015484","一汽大众高尔夫","0","2","前保险杠修复(小)","RDDC320190000014561015","100.00","","2019/7/20 16:24:00"
"1733168","C2019440100710007454","44010071","广汽丰田凯美瑞","1","3","右前大灯拆装","RDDG320190000014500942","50.00","","2019/7/19 16:53:30"
"1733169","C2019210110100000489","21011010","东风日产逍客","0","5","前杠拆装","RDFA320190000014599403","200.00","","2019/7/30 12:41:53"
"1733170","C2019320106070003141","32010607","一汽大众速腾","1","3","前保险杠拆装(含附件)","RDDC320190000014599100","100.00","","2019/7/28 16:38:00"
"1733171","C2019650111140000058","65011114","哈弗H6","0","1","后保险杠(全喷)","RDFA320190000014617527","100.00","","2019/7/29 17:14:06"
"1733172","C2019230101030000594","23010103","北京现代ix35","1","1","前保险杠(全喷)","RDDG320190000014486720","550.00","","2019/7/15 22:15:40"
"1733173","C2019330124030002142","33012403","东风本田炫威","1","3","后挡风玻璃拆装","RDDG320190000014535328","200.00","","2019/7/25 15:53:13"
"1733174","C2019230107030000654","23010703","北京现代ix35","0","31","轮胎动平衡","RDDC320190000014399123","60.00","","2019/7/17 11:24:23"
"1733175","C2019350140810000554","35010043","比亚迪E5","1","1","水箱框架板喷漆","RDDG320190000014511416","100.00","","2019/7/27 12:59:01"
"1733176","C2019510100640006365","51010064","北京奔驰C级","0","1","右侧底大边喷漆","RDFA320190000014516950","315.00","","2019/7/15 15:23:00"
"1733177","C2019220100510017434","22010051","一汽丰田RAV4","1","2","左后叶子板整形修复(中)","RDDC320190000014410167","200.00","","2019/7/2 16:45:51"
"1733178","C2019370200510015561","37020051","吉利帝豪GS","1","1","左倒车镜喷漆","RDDC320190000014228393","50.00","","2019/7/22 16:51:42"
"1736364","C2019520109040001807","52010904","上海通用别克英朗","0","2","右前车门整形修复(中)","RDFA320190000014465194","200.00","","2019/7/9 10:33:35"
"1736365","C2019460100000005140","46010000","保时捷Panamera","0","1","后保险杠(全喷)","RDDC320190000014517112","500.00","","2019/7/18 11:28:40"
"1736366","C2019130116110000274","13011611","一汽大众速腾","1","3","前保险杠拆装(含附件)","RDDC320190000013836620","100.00","","2019/7/25 9:10:51"
"1736367","C2019330117000002456","33011700","广汽丰田凯美瑞","0","2","后保险杠修复(小)","RDDG320190000014544578","100.00","","2019/7/18 14:13:34"
"1736368","C2019440117050008080","44011705","长安跨越","0","1","前围面板喷漆","RDDG320190000014460124","300.00","","2019/7/10 13:55:40"
"1736369","C2019420100280005229","42010028","一汽丰田皇冠","1","3","前保险杠拆装(含附件)","RDFA320190000014377722","100.00","","2019/7/6 21:00:23"
"1736370","C2019330155450001699","33015625","东风悦达起亚K3","1","3","左前雾灯拆装","RDDC320190000014144523","20.00","","2019/7/2 10:58:11"
"1736371","C2019440122050006216","44012205","森林人","1","1","前保险杠(全喷)","RDFA320190000014566562","600.00","","2019/7/25 17:50:10"
"1736372","C2019520106040002786","52011208","名爵MG 6","0","2","左前车门整形修复(大)","RDFA320190000014431890","300.00","","2019/7/3 13:29:50"
"1736373","C2019350106200000872","35010606","东风日产轩逸","0","5","钢圈修复","RDDC320190000014457393","300.00","","2019/7/8 18:28:10"
"1736374","C2019150103050008292","15010305","奥龙","0","1","驾驶室前围内板喷漆","RDFA320190000014498847","200.00","","2019/7/31 9:07:50"
"1736375","C2019610100420001214","61010042","一汽奥迪A6","0","2","左前叶子板整形修复(小)","RDFA320190000014630299","200.00","","2019/7/30 9:42:19"
"1736376","C2019220100000012002","22010000","一汽马自达CX-4","1","1","前保险杠(全喷)","RDDG320190000014492703","459.00","","2019/7/12 9:32:22"
"1736377","C2019130100000000666","13010000","长安CS35","1","1","后围板喷漆","RDFA320190000014562888","180.00","","2019/7/23 10:04:25"
"1736378","C2019210107050001564","21010705","奔驰R级","1","5","前杠喷漆","RDDG320190000014532395","1800.00","","2019/7/18 11:48:09"
"1736379","C2019530123050003352","53012305","东风本田炫威","1","1","右前叶子板(全喷)","RDDG320190000014504793","360.00","","2019/7/18 18:47:39"
"1736380","C2019510118020001039","51011802","东风日产逍客","1","1","前保险杠(全喷)","RDFA320190000014483264","340.00","","2019/7/11 10:14:14"
"1736381","C2019210103050002665","21010305","北京现代伊兰特","1","1","右后叶子板(全喷)","RDDG320190000014569894","80.00","","2019/7/22 16:19:06"
"1736382","C2019310101110021901","31010111","东风本田思域","1","1","右侧底大边喷漆","RDDC320190000014558472","225.00","","2019/7/20 11:08:10"
"1736383","C2019330139260001293","33013926","五菱宏光","0","2","前保险杠内杠整形修复(小)","RDDC320190000014508361","90.00","","2019/7/13 21:04:34"
"1736384","C2019330200630015975","32010607","东风日产天籁","0","3","后保险杠拆装(含附件)","RDFB320190000014595701","150.00","","2019/7/27 15:42:10"
"1736385","C2019330117140014072","33011714","一汽大众速腾","0","1","右后门(全喷)","RDDG320190000014462483","280.00","","2019/7/13 16:49:26"
"1736386","C2019320107100005219","32010710","上海大众帕萨特","0","1","引擎盖(全喷)","RDDC320190000014543434","495.00","","2019/7/18 15:35:54"
"1736387","C2019440136050002346","44013605","比亚迪宋","1","3","前保险杠拆装(含附件)","RDFA320190000014585783","210.00","","2019/7/25 11:06:25"
"1736388","C2019370108290003095","13011018","东风天龙货车","0","2","大梁整形修复(大)","RDDG320190000013758871","2000.00","","2019/7/31 17:39:33"
"1736389","C2019520101250005836","52010125","长安马自达3","0","1","左后叶子板(全喷)","RDFA320190000014527486","255.00","","2019/7/18 16:31:40"
"1736390","C2019450102400000246","44039275","长安CS55","1","2","前保险杠修复(小)","RDDG320190000014415143","100.00","","2019/7/5 16:51:01"
"1736391","C2019340100600010746","34011805","哈弗H6","1","3","前保险杠缓冲器拆装","RDFA320190000014553826","0.00","","2019/7/25 17:59:27"
"1736392","C2019130100860007813","13010086","上海大众桑塔纳","1","1","左前门(半喷)","RDFA320190000014557630","150.00","","2019/7/23 9:11:12"
"1736393","C2019140100290002870","14010029","东风悦达起亚K4","1","1","右后门(全喷)","RDFA320190000014581670","300.00","","2019/7/23 17:00:29"
"1736394","C2019610108220000199","14012308","五菱宏光","0","2","左后叶子板整形修复(小)","RDDG320190000014511885","100.00","","2019/7/14 11:52:13"
"1736395","C2019440117170000139","44011717","一汽大众捷达","0","2","左侧底大边整形修复(大)","RDFA320190000014565338","100.00","","2019/7/24 10:07:49"
"1736396","C2019520103050006860","52010305","昌河微型货车","0","3","轮胎拆装","RDFA320190000014573720","20.00","","2019/7/29 9:31:03"
"1736397","C2019330138380002347","33013838","东风日产骐达","0","3","左后尾灯拆装","RDDC320190000014519454","40.00","","2019/7/19 12:09:39"
"1736398","C2019340100600010939","34010060","东风悦达起亚福瑞迪","0","1","左侧底大边喷漆","RDFA320190000014583155","150.00","","2019/7/25 10:04:38"
"1736399","C2019340100600009971","34010060","东风日产骊威","1","3","前保险杠拆装(含附件)","RDFA320190000014422882","90.00","","2019/7/3 16:13:36"
"1736400","C2019370106050004828","37010605","长安福特福克斯","1","1","右后门(全喷)","RDDC320190000014458163","260.00","","2019/7/12 15:59:24"
"1736401","C2019370200150000634","37020051","长安悦翔","0","3","左前叶子板拆装","RDDC320190000014457989","60.00","","2019/7/6 17:31:29"
"1736402","C2019610100840020013","61010084","领克01","1","2","右前叶子板整形修复(大)","RDDG320190000014509540","200.00","","2019/7/21 19:18:45"
"1736403","C2019130109340002908","13010934","江铃福特全顺新世代","0","1","右前叶子板(全喷)","RDDG320190000014517020","300.00","","2019/7/21 17:25:35"
"1736404","C2019610100420001002","61010042","一汽大众迈腾","1","1","前保险杠(全喷)","RDDG320190000014544288","500.00","","2019/7/18 12:51:46"
"1736405","C2019370100000010936","37010000","上海大众桑塔纳","0","1","右后叶子板(全喷)","RDDG320190000014555099","200.00","","2019/7/19 18:43:43"
"1736406","C2019130105310000622","13010531","昌河铃木北斗星","0","1","右倒车镜喷漆","RDFA320190000014518479","90.00","","2019/7/16 8:22:49"
"1736407","C2019510117050001524","61010605","一汽马自达阿特兹","0","1","右后叶子板(全喷)","RDFA320190000014349124","350.00","","2019/7/5 9:59:10"
"1736408","C2019320102210008048","32010221","上海大众桑塔纳","0","1","左后门(全喷)","RDFA320190000014616589","288.00","","2019/7/28 10:37:19"
"1737383","C2019330111000005013","33011100","华晨宝马5系","1","3","水箱框架拆装","RDDG320190000014545389","420.00","","2019/7/25 17:05:16"
"1737384","C2019530114500000390","53011450","摩托车","0","3","油箱","RDDB320180000011715531","120.00","","2019/7/5 10:12:33"
"1737385","C2019370200510014957","37020051","五菱宏光","0","1","左后叶子板(全喷)","RDDC320190000014455902","262.00","","2019/7/8 11:06:36"
"1737386","C2019110108750000235","11011053","厦门金旅海狮","1","3","后保险杠拆装(含附件)","RDFA320190000014567173","120.00","","2019/7/25 13:49:23"
"1737387","C2019220100000011484","22010000","哈弗H2","1","2","左后叶子板整形修复(大)","RDDG320190000014455740","200.00","","2019/7/8 13:20:34"
"1737388","C2019210200340007149","21020034","上海大众桑塔纳","0","3","前保险杠拆装(含附件)","RDDC320190000014495077","100.00","","2019/7/12 15:30:39"
"1737389","C2019500101170014886","50010117","哈弗H2","0","2","前保险杠修复(小)","RDFA320190000014517596","100.00","","2019/7/16 11:28:58"
"1737390","C2019370102050009675","37010205","宝骏560","0","1","水箱框架板喷漆","RDDC320190000014449248","65.00","","2019/7/9 18:26:00"
"1737391","C2019530122200001247","53012220","东风日产轩逸","1","3","中网拆装","RDDG320190000014534927","20.00","","2019/7/22 15:02:02"
"1737392","C2019530128060002211","53012806","广汽三菱欧蓝德","0","2","右后叶子板整形修复(大)","RDDG320190000014515183","209.00","","2019/7/15 10:51:01"
"1737393","C2019500108000000275","50010800","上海通用雪佛兰乐风","0","3","后保险杠拆装(含附件)","RDFA320190000014466567","80.00","","2019/7/8 10:34:42"
"1737394","C2019510107640000289","51010764","长安福特福克斯","0","1","右前门(全喷)","RDFA320190000014551607","290.00","","2019/7/19 16:58:30"
"1737395","C2019320104120004484","32010412","东风雪铁龙C5","0","1","右后叶子板(全喷)","RDDC320190000014499942","288.00","","2019/7/19 10:49:31"
